Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_002.jpg,-5.569614,0,0,0,99.67033,85.58954,0.000485564,32.88819,-9.83E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_043.jpg,-3.285454,0,0,0,99.67033,85.58954,0.000364009,32.49395,-0.000158892
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_120.jpg,1.453217,0,0,0,99.67033,85.58954,0.000134195,32.56506,-0.000270311
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_198.jpg,6.167102,0,0,0,99.67032,85.58953,-7.69E-05,33.75771,-0.000356884
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_275.jpg,6.09718,0,0,0,99.67032,85.58953,-0.000260737,34.94735,-0.000414542
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_354.jpg,1.452525,0,0,0,99.67032,85.58953,-0.000407436,35.58099,-0.000448101
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_393.jpg,0,0,0,0,99.67032,85.58953,-0.000465192,35.58099,-0.000458535
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_472.jpg,4.76859,0,0,0,99.67032,85.58952,-0.000560483,36.4413,-0.000457399
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_549.jpg,9.4543,0,0,0,99.67032,85.58952,-0.000614612,37.86074,-0.000436787
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_628.jpg,9.488966,0,0,0,99.67031,85.58952,-0.000658903,40.41583,-0.000387869
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_707.jpg,4.758608,0,0,0,99.67031,85.58952,-0.00065875,41.84056,-0.000341268
